ID_REPOSITORIO|NOMBRE_USUARIO|NOMBRE_REPOSITORIO|DESCRIPCIÓN|ÚLTIMA_ACTUALIZACIÓN|IDIOMA|ESTRELLAS|ETIQUETAS|URL
25|h5bp|html5-boilerplate|Una plantilla de interfaz profesional para crear sitios o aplicaciones web rápidos, robustos y adaptables.|2017-0611T16:03:52Z|JavaScript|37.6||https://github.com/h5bp/html5-boilerplate
26|nodejs|node|Tiempo de ejecución de JavaScript de Node.js |2017-0624T19:42:53Z|JavaScript|36.4|javascript,nodejs,windows,macos,linux,node,mit,js,tiempo de ejecución|https://github.com/nodejs/node
27|nodejs|node-v0.x-archive|Trasladado a https://github.com/nodejs/node|2016-0803T14:11:58Z||36.4||https://github.com/nodejs/node-v0.x-archive
28|rails|rails|Ruby on Rails|2017-0624T16:02:00Z|Ruby|36.1|rails,ruby,html,mvc,activerecord,activejob|https://github.com/rails/r ails
29|Semantic-Org|Semantic-UI|Semantic es un marco de componentes de interfaz de usuario basado en principios útiles del lenguaje natural.|2017-0619T17:49:04Z|JavaScript|35.6|semantic,flexbox,ui,cssframework,tooltip,button,popup,dropdown,sidebar,ui-components|https://github.com/SemanticOrg/Semantic-UI
30|vinta|awesome-python|Una lista seleccionada de increíbles frameworks, bibliotecas, software y recursos de Python|2017-0618T09:43:08Z|Python|35.3|python,awesome,collections|https://github.com/vinta/awesome-python
31|hakimel|reveal.js|El marco de trabajo de presentación HTML|2017-0619T09:07:01Z|JavaScript|35.2|presentación,diapositivas,presentaciones|https://github.com/hak imel/reveal.js
32|socketio|socket.io|Marco de trabajo de aplicaciones en tiempo real (servidor Node.JS)|2017-06-23T01:04:59Z|JavaScript|33.8||https://github.com/socketio/socket.io
33|mrdoob|three.js|Biblioteca 3D de JavaScript.|2017-0624T18:40:38Z|JavaScript|33.6|javascript,svg,webgl,html5,canvas,scenegraph|https://github.com/mrdoob/three.js
34|laravel|laravel|Un framework PHP para artesanos web|2017-0623T08:57:24Z|PHP|32.9|php,laravel,framework|https://github.com/laravel/laravel
35|expressjs|express|Marco web rápido, minimalista y sin prejuicios para node.|2017-0622T15:34:50Z|JavaScript|32.5|javascript,nodejs,express,servidor|https://github.com/expressjs /express
36|reactjs|redux|Contenedor de estado predecible para aplicaciones JavaScript|2017-0623T21:05:09Z|JavaScript|32|redux|https://github.com/reactjs/redux
37|momento|momento|Analizar, validar, manipular y mostrar fechas en javascript.|2017-0624T15:53:46Z|JavaScript|31.9||https://github.com/moment/moment
38|impress|impress.js|Es un marco de presentación basado en el poder de las transformaciones y transiciones CSS3 en los navegadores modernos e inspirado b|2017-0515T15:25:45Z|JavaScript|31.8||https://github.com/impress/impress.js
39|nwjs|nw.js|Llame a todos los módulos Node.js directamente desde DOM/WebWorker y habilite una nueva forma de escribir aplicaciones con toda la tecnología web|2017-0623T05:35:29Z|C++|31.8|intel,node-webkit,nwjs,javascript,desktop,web-applicationframework|https://github.com/nwjs/nw.js
40|jlevy|el-arte-de-la-linea-de-comandos|Domina la línea de comandos, en una página|2017-0612T11:43:49Z||31||https://github.com/jlevy/el-arte-de-la-linea-de-comandos
41|chartjs|Chart.js|Gráficos HTML5 simples que utilizan la etiqueta <canvas>|2017-0624T19:40:15Z|JavaScript|30.7|html5charts,chart,javascript,html5,canvas,graph|https://github.com/chartjs/Chart.js
42|google|iconos-de-material-design|Iconos de Material Design de Google|2017-0623T19:35:25Z|CSS|30.2|material,sprites,iconos,android,ios,web,materialdesign|https://github.com/google/iconos-de-material-design
43|jakubroztocil|httpie|Cliente HTTP de línea de comandos moderno, una alternativa a curl fácil de usar con interfaz de usuario intuitiva, compatibilidad con JSON, resaltado de sintaxis|2017-06-18T06:18:33Z|Python|30.2|python,depuración,cli,http,cliente,json,desarrollo,terminal,web,res t,curl,http-client,wget,herramientas para desarrolladores,usabilidad,httpie|https://github.com/jakubroztocil/httpie
44|ionic-team|ionic|Crea increíbles aplicaciones web nativas y progresivas con tecnologías web abiertas. Una aplicación que funciona en todo |2017-0624T15:34:10Z|TypeScript|30.1|ionic,javascript,angular,mobile,framework,typescript,web,pwa,fr ontend|https://github.com/ionic-team/ionic
45|jekyll|jekyll| Jekyll es un generador de sitios estáticos que reconoce blogs en Ruby|2017-06-24T16:32:00Z|Ruby|30.1|ruby,jekyll,static-sitegenerator|https://github.com/jekyll/jekyll
46|Microsoft|vscode|Código de Visual Studio|2017-0624T16:48:19Z|TypeScript|29.6|electron,microsoft,editor,typescript,código-de-visualstudio|https://github.com/Microsoft/vscode
47|webpack|webpack|Un paquete para javascript y similares. Empaca muchos módulos en unos pocos recursos agrupados. La división de código permite cargar par|2017-0624T01:42:43Z|JavaScript|29.4|javascript,webpack,commonjs,amd,module-loader,webperformance,web,es6,compiler,es2015,plugins,javascript-compiler,webpack2,buildtool,loaders,module-bundler,esm,javascript-modules|https://github.com/webpack/webpack
48|currículum|resume.github.com|Currículums generados con la información de GitHub|2017-0130T13:08:05Z|JavaScript|29.4||https://github.com/resume/resume.github.com
49|AFNetworking|AFNetworking|Un agradable marco de trabajo en red para iOS, OS X, watchOS y tvOS.|2017-06-21T18:26:52Z|Objective-C|29.4||https://github.com/AFNetworking/AFNetworking
50|golang|go|El lenguaje de programación Go|2017-06-24T00:54:40Z|Go|29.2|go,lenguaje-deprogramacion,lenguaje|https://github.com/golang/go
51|facebookincubator|create-react-app|Crea aplicaciones React sin configuración de compilación.|2017-06-23T19:23:25Z|JavaScript|29.1|react,zero-configuration,buildtools|https://github.com/facebookincubator/create-react-app
52|Homebrew|legacy-homebrew| El antiguo hogar de Homebrew|2017-0527T11:25:40Z|Ruby|29||https://github.com/Homebrew/legacy-homebrew
53|nvbn|thefuck|Magnífica aplicación que corrige tu comando de consola anterior.|2017-0619T21:12:47Z|Python|28.6|python,shell|https://github.com/nvbn/thefuck
54|h5bp|Preguntas de la entrevista para desarrolladores front-end|Una lista de preguntas útiles relacionadas con el front-end que puede usar para entrevistar a candidatos potenciales, evaluarse a sí mismo o completar|2017-0622T10:57:36Z||28.2||https://github.com/h5bp/Preguntas-de-la-entrevista-para-desarrolladoresfront-end
55|pallets|flask|Un microframework basado en Werkzeug, Jinja2 y buenas intenciones|2017-0621T23:13:36Z|Python|27.8|python,flask,webframework,wsgi,jinja,werkzeug|https://github.com/pallets/flask
56|NARKOZ|hacker-scripts|Basado en una historia real|2017-0514T18:32:58Z|JavaScript|27.8||https://github.com/NARKOZ/hacker-scripts
57|google|material-design-lite|Componentes de Material Design en HTML/CSS/JS|2017-0623T13:58:54Z|HTML|27.8||https://github.com/google/material-design-lite
58|adobe|brackets|Un editor de código fuente abierto para la web, escrito en JavaScript, HTML y CSS.|2017-06-23T20:18:00Z|JavaScript|27.6||https://github.com/adobe/brackets
59|Dogfalo|materialize|Materialize, un framework CSS basado en Material Design|2017-0624T17:56:32Z|JavaScript|27.2|material,css,diseño|https://github.com/Dogfalo/materialize
60|blueimp|jQuery-File-Upload|Widget de carga de archivos con selección de archivos múltiples, compatibilidad con arrastrar y soltar, barra de progreso, validación y vista previa de imágenes, audi|2017-0518T20:04:36Z|JavaScript|26.9||https://github.com/blueimp/jQuery-File-Upload
61|rg3|youtube-dl|Programa de línea de comandos para descargar vídeos de YouTube.com y otros sitios de vídeos|2017-06-24T19:15:47Z|Python|26.9||https://github.com/rg3/youtube-dl
62|necolas|normalize.css|Una colección de normalizaciones de estilo de elementos y atributos HTML|2017-06-15T19:41:13Z|CSS|26.7||https://github.com/necolas/normalize.css
63|gulpjs|gulp|El sistema de compilación en streaming|2017-0624T02:51:24Z|JavaScript|26.6||https://github.com/gulpjs/gulp
64|callemall|material-ui|Componentes de React que implementan el Material Design de Google.|2017-06-24T18:59:29Z|JavaScript|26.6|react-components,material-ui,javascript,googlematerial,react,material-design|https://github.com/callemall/material-ui
65|jashkenas|backbone|Dale a tu aplicación JS un poco de estructura con modelos, vistas, colecciones y eventos|2017-0623T11:34:11Z|JavaScript|26.4||https://github.com/jashkenas/backbone
66|django|django|El framework web para perfeccionistas con plazos.|2017-0624T14:49:32Z|Python|26.4|python,django,vistas,framework,orm,web,aplicaciones,plantillas,modelos|https://github.com/django/django
67|yarnpkg|yarn| Gestión de dependencias rápida, fiable y segura.|2017-0624T02:57:02Z|JavaScript|25.9|yarn,npm,packagemanager,javascript|https://github.com/yarnpkg/yarn
68|solicitudes|solicitudes|Solicitudes HTTP de Python para humanos|2017-0616T22:31:24Z|Python|25.7|python,http,solicitudes,parahumanos,kennethreitz|https://github.com /requests/requests
69|zurb|foundation-sites|El framework de front-end responsivo más avanzado del mundo. Cree rápidamente prototipos y código de producción para el sitio|2017-0624T19:09:03Z|JavaScript|25.7||https://github.com/zurb/foundation-sites
70|angular|angular|Un framework. Móvil y de escritorio.|2017-0624T19:19:20Z|TypeScript|25.3|angular,typescript,javascript,rendimiento web,web,pwa,framework web|https://github.com/angular/angular
71|ReactiveX|RxJava|Extensiones reactivas de RxJava para la JVM, una biblioteca para componer programas asincrónicos y basados ​ en eventos utilizando observ|2017-0624T11:34:48Z|Java|25.2|flow,reactive-streams,java,rxjava|https://github.com/ReactiveX/RxJava
72|chrislgarry|Apollo-11|Código fuente original de la computadora de guía (AGC) del Apolo 11 para los módulos lunares y de comando.|2017-0619T11:00:14Z|Assembly|24.4|agc,apollo,nasa|https://github.com/chrislgarry/Apollo-11
73|kubernetes|kubernetes|Programación y gestión de contenedores de nivel de producción|20170624T19:15:49Z|Go|24.3|cncf,kubernetes,containers,go|https://github.com/kubernetes/kubernetes
74|lodash|lodash|Una biblioteca de utilidades de JavaScript moderna que ofrece modularidad, rendimiento y extras.|2017-0620T21:55:44Z|JavaScript|24.3|lodash,javascript,módulos,utilidades|https://github.com/lodash/ lodash
75|Alamofire|Alamofire|Redes HTTP elegantes en Swift|2017-0618T16:52:42Z|Swift|24.1||https://github.com/Alamofire/Alamofire
76|antirez|redis|Redis es una base de datos en memoria que persiste en el disco. El modelo de datos es clave-valor, pero se admiten muchos tipos diferentes de valores |2017-0623T16:35:09Z|C|24||https://github.com/antirez/redis
77|wasabeef|awesome-android-ui|Una lista seleccionada de increíbles bibliotecas de UI/UX para Android|2017-0610T18:49:12Z||23.9|android,awesome,ui|https://github.com/wasabeef/awesome-android-ui
78|ansible|ansible|Ansible es una plataforma de automatización de TI radicalmente simple que hace que sus aplicaciones y sistemas sean más fáciles de implementar. Evitar|2017-0624T19:07:24Z|Python|23.9|python,ansible|https://github.com/ansible/ansible
79|getlantern|lantern|Lantern Última descarga https://github.com/getlantern/lantern/releases/tag/latest https://github.com/getl|2017-0615T21:08:34Z|Go|23.8||https://github.com/getlantern/lantern
80|josephmisiti|awesome-machine-learning|Una lista seleccionada de increíbles marcos, bibliotecas y software de aprendizaje automático.|2017-0624T16:58:31Z|Python|23.7||https://github.com/josephmisiti/awesome-machine-learning
81|kamranahmedse|hoja de ruta para desarrolladores|Hoja de ruta para convertirse en desarrollador web en 2017|2017-06-23T22:21:42Z||23.6||https://github.com/kamranahmedse/hojade-ruta-para-desarrolladores
82|papers-we-love|papers-we-love|Artículos de la comunidad informática para leer y debatir.|2017-06-10T15:02:44Z||23.6||https://github.com/papers-we-love/papers-we-love
83|elastic|elasticsearch|Motor de búsqueda distribuido, RESTful y de código abierto|2017-0624T18:33:40Z|Java|23.4|java,motor-debúsqueda,elasticsearch|https://github.com/elastic/elasticsearch
84|Trinea|android-open-project|Una colección categorizada de proyectos de código abierto de Android: codekk|2017-06-22T02:52:14Z||23.3|android,open-sourceproject|https://github.com/Trinea/android-open-project
85|neovim|neovim|Bifurcación de Vim centrada en la extensibilidad y la usabilidad.|2017-0624T15:31:57Z|Script de Vim|23.2|c,neovim,vim,lua,nvim,editor de texto,multiplataforma,extensible,api|https://github.com/neovim/neovim
86|Microsoft|TypeScript|TypeScript es un superconjunto de JavaScript que se compila para generar una salida JavaScript limpia.|2017-0623T23:16:05Z|TypeScript|23.2|javascript,typescript,lenguaje,typechecker|https://github.com/M icrosoft/TypeScript
87|nylas|nylas-mail| Una aplicación de correo electrónico de escritorio extensible creada para la web moderna. ¡Bifurcaciones bienvenidas!|2017-0606T19:46:56Z|JavaScript|23.1|linux,javascript,nylasmail,electron,react,windows,macos,flux,productividad,babel,email|https://github.com/nylas/nylas-mail
88|ReactTraining|react-router|Enrutamiento declarativo para React|2017-0623T18:06:10Z|JavaScript|23||https://github.com/ReactTraining/react-router
89|TryGhost|Ghost|Una plataforma de publicación sencilla y potente|2017-0624T07:31:30Z|JavaScript|23|javascript,blogging,periodismo,publicación,aplicación web|https://github.com/TryGhost/Ghost
90|johnpapa|angular-styleguide|Guía de estilo de Angular: un punto de partida para que los equipos de desarrollo de Angular proporcionen coherencia a través de buenas prácticas.|201705-30T22:32:13Z||22.9||https://github.com/johnpapa/angular-styleguide
91|typicode|json-server|Obtenga una API REST falsa completa sin codificación en menos de 30 segundos (en serio)|2017-06-22T18:24:06Z|JavaScript|22.8||https://github.com/typicode/jsonserver
92|ariya|phantomjs|WebKit sin cabeza programable|2017-0618T15:10:12Z|HTML|22.5||https://github.com/ariya/phantomjs
93|open-source-society|computer-science| ¡El camino hacia una educación libre y autodidacta en Ciencias de la Computación!|2017-06-10T14:19:21Z||22.5|computer-science,cursos,listaincreíble|https://github.com/open-source-society/computer-science
94|tiimgreen|github-cheat-sheet|Una lista de características interesantes de Git y GitHub.|2017-04-23T11:54:18Z||22.3|list,awesome,awesomelist|https://github.com/tiimgreen/github-cheat-sheet
95|rust-lang|rust|Un lenguaje seguro, concurrente y práctico.|2017-0624T19:28:33Z|Rust|22.3|rust,compilador|https://github.com/rust-lang/rust
96|square|retrofit|Cliente HTTP de tipo seguro para Android y Java de Square, Inc.|2017-0623T18:50:14Z|Java|22||https://github.com/square/retrofit
97|discourse|discourse|Una plataforma para el debate comunitario. Libre, abierta, sencilla.|2017-0623T21:20:59Z|Ruby|21.9|ruby,rails,discourse,emberjs|https://github.com/discourse/discourse
98|firehol|netdata|Tome el control de sus servidores. Sencillo. Eficaz. ¡Genial! https://mynetdata.io/|2017-0622T23:11:14Z|C|21.9|monitoreo,métricas,iot,linux,notificaciones,macos,agente,docker,freebsd, alarma,estado,comparativa,rendimiento,tiempo real,monitoreo,panel,control de estado,analítica web,página de estado,statsd|https://github.com/firehol/netdata
99|dypsilon|frontend-dev-bookmarks|Colección de recursos seleccionada manualmente para desarrolladores web frontend.|2017-05-24T04:51:50Z||21.9|list,awesome,frontend,awesomelist|https://github.com/dypsilon/frontend-dev-bookmarks
100|mzabriskie|axios|Cliente HTTP basado en promesas para el navegador y node.js|2017-0623T20:57:16Z|JavaScript|21.8|javascript,promise,nodejs,httpclient|https://github.com/mzabriskie/axios
